## take reference from DESI's, modified for JUST
# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
160.680615083    0.346438165    5.538947912    5.536299275    26.586949978    26.574236521    128.897049807    128.835413283
161.656676400    0.348518615    5.539346322    5.536680578    26.588862347    26.576066773    128.906321221    128.844286586
162.632988565    0.350599152    5.539747405    5.537064530    26.590787546    26.577909742    128.915654843    128.853221546
163.609553128    0.352679775    5.540151167    5.537451136    26.592725601    26.579765453    128.925050791    128.862218279
164.586371640    0.354760484    5.540557612    5.537840402    26.594676538    26.581633930    128.934509187    128.871276899
165.563445660    0.356841280    5.540966746    5.538232332    26.596640379    26.583515195    128.944030153    128.880397520
166.540776743    0.358922163    5.541378573    5.538626932    26.598617152    26.585409272    128.953613809    128.889580259
167.518366443    0.361003132    5.541793100    5.539024205    26.600606881    26.587316186    128.963260278    128.898825230
168.496216313    0.363084187    5.542210332    5.539424158    26.602609592    26.589235961    128.972969684    128.908132551
169.474327915    0.365165329    5.542630273    5.539826796    26.604625309    26.591168620    128.982742148    128.917502337
170.452702810    0.367246558    5.543052929    5.540232122    26.606654059    26.593114187    128.992577796    128.926934707
171.431342560    0.369327873    5.543478306    5.540640143    26.608695867    26.595072688    129.002476751    128.936429778
172.410248725    0.371409275    5.543906408    5.541050864    26.610750759    26.597044147    129.012439139    128.945987669
173.389422868    0.373490763    5.544337242    5.541464289    26.612818760    26.599028587    129.022465083    128.955608498
174.368866550    0.375572337    5.544770812    5.541880424    26.614899898    26.601026034    129.032554712    128.965292385
175.348399775    0.377653612    5.545207043    5.542299195    26.616993807    26.603036138    129.042706262    128.975037637
176.328356103    0.379735293    5.545646088    5.542720751    26.619101224    26.605059606    129.052923300    128.984847676
177.308619538    0.381817130    5.546087901    5.543145046    26.621221926    26.607096222    129.063204743    128.994721461
178.289158820    0.383899053    5.546532473    5.543572072    26.623355869    26.609145945    129.073550379    129.004658786
179.269962258    0.385981034    5.546979802    5.544001827    26.625503049    26.611208770    129.083960194    129.014659639
180.251058300    0.388063130    5.547429907    5.544434329    26.627663554    26.613284781    129.094434604    129.024724414
181.232434898    0.390145312    5.547882787    5.544869578    26.629837378    26.615373974    129.104973592    129.034853098
182.214093625    0.392227580    5.548338448    5.545307578    26.632024550    26.617476374    129.115577290    129.045045812
183.196036065    0.394309933    5.548796895    5.545748335    26.634225096    26.619592008    129.126245828    129.055302681
184.178263783    0.396392372    5.549258134    5.546191854    26.636439043    26.621720899    129.136979337    129.065623830
185.160778368    0.398474897    5.549722171    5.546638141    26.638666418    26.623863075    129.147777948    129.076009382
186.143581393    0.400557507    5.550189010    5.547087200    26.640907250    26.626018562    129.158641793    129.086459465
187.126674443    0.402640202    5.550658659    5.547539038    26.643161563    26.628187384    129.169571002    129.096974203
188.110059090    0.404722982    5.551131122    5.547993660    26.645429385    26.630369569    129.180565705    129.107553723
189.093736930    0.406805848    5.551606405    5.548451071    26.647710744    26.632565142    129.191626032    129.118198152
190.077709535    0.408888798    5.552084514    5.548911277    26.650005665    26.634774130    129.202752115    129.128907617
191.061978503    0.410971832    5.552565454    5.549374283    26.652314177    26.636996558    129.213944086    129.139682246
192.046545415    0.413054951    5.553049230    5.549840095    26.654636306    26.639232455    129.225202076    129.150522168
193.031411858    0.415138154    5.553535850    5.550308718    26.656972081    26.641481846    129.236526219    129.161427512
194.016579433    0.417221442    5.554025318    5.550780158    26.659321528    26.643744758    129.247916649    129.172398408
195.002049718    0.419304813    5.554517641    5.551254420    26.661684675    26.646021217    129.259373498    129.183434984
195.987824310    0.421388268    5.555012823    5.551731511    26.664061549    26.648311251    129.270896902    129.194537373
196.973904808    0.423471806    5.555510871    5.552211435    26.666452180    26.650614887    129.282486995    129.205705706
197.960292800    0.425555428    5.556011790    5.552694198    26.668856594    26.652932152    129.294143914    129.216940113
198.946989895    0.427639132    5.556515588    5.553179807    26.671274820    26.655263074    129.305867794    129.228240728
199.933997678    0.429722920    5.557022268    5.553668266    26.673706886    26.657607679    129.317658771    129.239607683
200.921317758    0.431806790    5.557531838    5.554159582    26.676152821    26.659965995    129.329516984    129.251041111
201.908951733    0.433890742    5.558044302    5.554653760    26.678612652    26.662338050    129.341442570    129.262541147
202.896901208    0.435974777    5.558559668    5.555150806    26.681086408    26.664723871    129.353435667    129.274107924
203.885167790    0.438058893    5.559077941    5.555650726    26.683574118    26.667123487    129.365496415    129.285741579
204.873753078    0.440143091    5.559599127    5.556153526    26.686075811    26.669536925    129.377624953    129.297442246
205.862658683    0.442227370    5.560123232    5.556659211    26.688591515    26.671964213    129.389821420    129.309210061
206.851886210    0.444311730    5.560650263    5.557167788    26.691121260    26.674405380    129.402085958    129.321045162
207.841437280    0.446396171    5.561180224    5.557679261    26.693665075    26.676860454    129.414418707    129.332947686
208.831313495    0.448480692    5.561713123    5.558193638    26.696222988    26.679329464    129.426819810    129.344917769
209.821516475    0.450565293    5.562248965    5.558710924    26.698795030    26.681812437    129.439289409    129.356955551
210.812047828    0.452649974    5.562787756    5.559231126    26.701381229    26.684309402    129.451827646    129.369061171
211.802909175    0.454734734    5.563329503    5.559754248    26.703981616    26.686820389    129.464434666    129.381234768
212.794093170    0.456819555    5.563874208    5.560280292    26.706596197    26.689345404    129.477110497    129.393476371
213.785619543    0.458904474    5.564421885    5.560809275    26.709225048    26.691884520    129.489855516    129.405786345
214.777480760    0.460989471    5.564972537    5.561341197    26.711868176    26.694437745    129.502669751    129.418164718
215.769678448    0.463074547    5.565526169    5.561876064    26.714525611    26.697005108    129.515553348    129.430611631
216.762214235    0.465159700    5.566082788    5.562413883    26.717197384    26.699586638    129.528506453    129.443127228
217.755089750    0.467244930    5.566642401    5.562954659    26.719883523    26.702182364    129.541529214    129.455711650
218.748306608    0.469330237    5.567205013    5.563498399    26.722584061    26.704792316    129.554621778    129.468365043
219.741866445    0.471415621    5.567770631    5.564045109    26.725299027    26.707416523    129.567784293    129.481087549
220.735770890    0.473501082    5.568339261    5.564594795    26.728028453    26.710055017    129.581016909    129.493879314
221.730021580    0.475586618    5.568910910    5.565147464    26.730772368    26.712707826    129.594319773    129.506740482
222.724620138    0.477672229    5.569485584    5.565703121    26.733530804    26.715374980    129.607693037    129.519671200
223.719568213    0.479757915    5.570063290    5.566261773    26.736303793    26.718056510    129.621136852    129.532671614
224.714867430    0.481843676    5.570644034    5.566823426    26.739091364    26.720752447    129.634651367    129.545741871
225.710519430    0.483929511    5.571227823    5.567388088    26.741893550    26.723462820    129.648236735    129.558882119
226.706525858    0.486015420    5.571814663    5.567955763    26.744710382    26.726187661    129.661893109    129.572092507
227.702888353    0.488101402    5.572404561    5.568526458    26.747541892    26.728926999    129.675620641    129.585373182
228.699608560    0.490187457    5.572997523    5.569100181    26.750388110    26.731680866    129.689419486    129.598724294
229.696688120    0.492273584    5.573593556    5.569676936    26.753249070    26.734449293    129.703289797    129.612145994
230.694128680    0.494359782    5.574192667    5.570256731    26.756124802    26.737232311    129.717231729    129.625638431
231.691931895    0.496446053    5.574794863    5.570839573    26.759015340    26.740029951    129.731245437    129.639201758
232.690099405    0.498532394    5.575400149    5.571425467    26.761920714    26.742842242    129.745331076    129.652836120
233.688632873    0.500618805    5.576008532    5.572014420    26.764840955    26.745669214    129.759488790    129.666541654
234.687533940    0.502705286    5.576620019    5.572606436    26.767776093    26.748510895    129.773718725    129.680318497
235.686804270    0.504791837    5.577234616    5.573201523    26.770726157    26.751367313    129.788021026    129.694166789
236.686445513    0.506878457    5.577852329    5.573799687    26.773691178    26.754238496    129.802395841    129.708086666
237.686459335    0.508965146    5.578473164    5.574400932    26.776671187    26.757124474    129.816843316    129.722078269
238.686847385    0.511051902    5.579097128    5.575005266    26.779666213    26.760025275    129.831363599    129.736141737
239.687611335    0.513138727    5.579724226    5.575612694    26.782676287    26.762940929    129.845956838    129.750277212
240.688752848    0.515225618    5.580354467    5.576223222    26.785701441    26.765871464    129.860623182    129.764484833
241.690273583    0.517312576    5.580987855    5.576836856    26.788741704    26.768816909    129.875362780    129.778764742
242.692175210    0.519399600    5.581624397    5.577453603    26.791797108    26.771777295    129.890175783    129.793117082
243.694459390    0.521486690    5.582264101    5.578073469    26.794867684    26.774752650    129.905062341    129.807541995
244.697127805    0.523573845    5.582906971    5.578696459    26.797953463    26.777743003    129.920022605    129.822039624
